Time(s),Ventricular,Atrial
0.8952820301055908,63455,16351
0.9058933258056641,61216,61215
0.9161407947540283,61215,16351
0.9261858463287354,62816,62815
0.9362461566925049,62815,16351
0.9464776515960693,61472,61471
0.9566104412078857,61471,16351
0.9666285514831543,62688,62687
0.9767055511474609,62687,16351
0.9867539405822754,61216,61215
0.9973218441009521,61215,16351
1.0076837539672852,61408,61407
1.0180280208587646,61407,16351
1.0280988216400146,61472,61471
1.0384273529052734,61471,16351
1.0484957695007324,63136,63135
1.0585389137268066,63135,16351
1.0686252117156982,60512,60511
1.0787506103515625,60511,16351
1.0893495082855225,62432,62431
1.0997014045715332,62431,16351
1.1102209091186523,60448,60447
1.1205456256866455,60447,16351
1.1305584907531738,62688,62687
1.1408984661102295,62687,16351
1.1511101722717285,60448,60447
1.1612606048583984,60447,16351
1.1713902950286865,62432,62431
1.1815545558929443,62431,16351
1.1917321681976318,60512,60511
1.202223300933838,60511,16351
1.2123091220855713,61920,61919
1.2224063873291016,61919,16351
1.232597827911377,60512,60511
1.2428126335144043,60511,16351
1.2508091926574707,61920,61919
1.2610657215118408,61919,16351
1.2771034240722656,60448,60447
1.2894160747528076,60447,16351
1.2988953590393066,61728,61727
1.313208818435669,61727,16351
1.3232271671295166,61856,61855
1.3332488536834717,61855,16351
1.3432908058166504,62688,62687
1.354118824005127,62687,16351
1.3642990589141846,60640,60639
1.3743321895599365,60639,16351
1.3848214149475098,62176,62175
1.3950209617614746,62175,16351
1.4056587219238281,60704,60703
1.4156992435455322,60703,16351
1.4259660243988037,62176,62175
1.43599534034729,62175,16351
1.446054458618164,61472,61471
1.4563419818878174,61471,16351
1.4664881229400635,62240,62239
1.4766738414764404,62239,16351
1.4867773056030273,60512,60511
1.4971649646759033,60511,16351
1.5073397159576416,62560,62559
1.5173523426055908,62559,16351
1.5273940563201904,60832,60831
1.5376262664794922,60831,16351
1.547961950302124,62048,62047
1.558166742324829,62047,16351
1.5681898593902588,60640,60639
1.5785129070281982,60639,16351
1.5886893272399902,61856,61855
1.599550724029541,61855,16351
